industry,date,metric,value,source,status
人工智能,2026-06-13,policy_heat,0,configured_sources,no_match
半导体,2026-06-13,policy_heat,0,configured_sources,no_match
新能源汽车,2026-06-13,policy_heat,0,configured_sources,no_match
储能,2026-06-13,policy_heat,0,configured_sources,no_match
机器人,2026-06-13,policy_heat,0,configured_sources,no_match
低空经济,2026-06-13,policy_heat,0,configured_sources,no_match
跨境电商,2026-06-13,policy_heat,0,configured_sources,no_match
医药健康,2026-06-13,policy_heat,0,configured_sources,no_match
消费零售,2026-06-13,policy_heat,0,configured_sources,no_match
物流供应链,2026-06-13,policy_heat,0,configured_sources,no_match
旅游,2026-06-13,policy_heat,0,configured_sources,no_match
网络安全,2026-06-13,policy_heat,0,configured_sources,no_match
