rank,industry,data_date,composite_score,news_heat,news_heat_score,market_return_3m,market_return_3m_score,policy_heat,policy_heat_score,available_weight,missing_metrics,data_status
1,人工智能,2026-06-13,80.25,9.0,100.0,0.2054616302265774,80.0,0.0,54.166666666666664,1.0,,news_heat:ok; market_return_3m:ok; policy_heat:no_match
2,半导体,2026-06-13,76.58,2.0,83.33333333333334,0.3697750394138122,90.0,0.0,54.166666666666664,1.0,,news_heat:ok; market_return_3m:ok; policy_heat:no_match
3,机器人,2026-06-13,73.92,3.0,91.66666666666666,0.0654936767803844,70.0,0.0,54.166666666666664,1.0,,news_heat:ok; market_return_3m:ok; policy_heat:no_match
4,跨境电商,2026-06-13,63.69,1.0,70.83333333333334,,,0.0,54.166666666666664,0.7,market_return_3m,news_heat:ok; market_return_3m:missing_config; policy_heat:no_match
5,物流供应链,2026-06-13,59.58,1.0,70.83333333333334,-0.0958230859878799,50.0,0.0,54.166666666666664,1.0,,news_heat:ok; market_return_3m:ok; policy_heat:no_match
5,网络安全,2026-06-13,59.58,0.0,33.33333333333333,0.4722502485682105,100.0,0.0,54.166666666666664,1.0,,news_heat:no_match; market_return_3m:ok; policy_heat:no_match
7,新能源汽车,2026-06-13,47.58,0.0,33.33333333333333,-0.0377555896937409,60.0,0.0,54.166666666666664,1.0,,news_heat:no_match; market_return_3m:ok; policy_heat:no_match
8,低空经济,2026-06-13,42.26,0.0,33.33333333333333,,,0.0,54.166666666666664,0.7,market_return_3m,news_heat:no_match; market_return_3m:missing_config; policy_heat:no_match
9,储能,2026-06-13,41.58,0.0,33.33333333333333,-0.0993237114740103,40.0,0.0,54.166666666666664,1.0,,news_heat:no_match; market_return_3m:ok; policy_heat:no_match
10,医药健康,2026-06-13,38.58,0.0,33.33333333333333,-0.123989231320169,30.0,0.0,54.166666666666664,1.0,,news_heat:no_match; market_return_3m:ok; policy_heat:no_match
11,消费零售,2026-06-13,35.58,0.0,33.33333333333333,-0.1655969328780527,20.0,0.0,54.166666666666664,1.0,,news_heat:no_match; market_return_3m:ok; policy_heat:no_match
12,旅游,2026-06-13,32.58,0.0,33.33333333333333,-0.2088519576416246,10.0,0.0,54.166666666666664,1.0,,news_heat:no_match; market_return_3m:ok; policy_heat:no_match
