rank,industry,data_date,composite_score,capital_momentum,capital_momentum_score,tech_activity,tech_activity_score,external_signal_score,available_weight,ranking_status,scoring_mode,market_return_3m,market_return_3m_status,market_return_3m_growth_rate_4w,market_return_3m_momentum_status,market_return_3m_score,market_return_3m_score_source,market_return_4w,market_return_4w_status,market_return_4w_growth_rate_4w,market_return_4w_momentum_status,market_return_4w_score,market_return_4w_score_source,arxiv_paper_count_4w,arxiv_paper_count_4w_status,arxiv_paper_count_4w_growth_rate_4w,arxiv_paper_count_4w_momentum_status,arxiv_paper_count_4w_score,arxiv_paper_count_4w_score_source,github_repo_count_4w,github_repo_count_4w_status,github_repo_count_4w_growth_rate_4w,github_repo_count_4w_momentum_status,github_repo_count_4w_score,github_repo_count_4w_score_source,market_volume_change_4w,market_volume_change_4w_status,market_volume_change_4w_growth_rate_4w,market_volume_change_4w_momentum_status,nvd_cve_count_4w,nvd_cve_count_4w_status,nvd_cve_count_4w_growth_rate_4w,nvd_cve_count_4w_momentum_status,excluded_metrics,insufficient_metrics,auxiliary_metrics,missing_metrics,data_status
1,网络安全,2026-07-02,95.625,87.5,87.5,100.0,100.0,,1.0,trial,试运行评分模式,0.4212648026969585,ok,,insufficient_history,91.66666666666666,latest_value,0.0053842325182926,ok,,insufficient_history,83.33333333333334,latest_value,,missing_config,,missing_config,,unavailable,10928.0,ok,,insufficient_history,100.0,latest_value,-0.0703629020309712,ok,,insufficient_history,7062.0,ok,,insufficient_history,arxiv_paper_count_4w,arxiv_paper_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:insufficient_history
2,旅游,2026-07-02,79.16666666666667,79.16666666666667,79.16666666666667,,,,0.35,trial,试运行评分模式,0.1380264939119633,ok,,insufficient_history,58.333333333333336,latest_value,0.0569291219552996,ok,,insufficient_history,100.0,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.0684126984126985,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
3,机器人,2026-07-02,70.625,62.5,62.5,75.0,75.0,,1.0,trial,试运行评分模式,0.2216022535855697,ok,,insufficient_history,75.0,latest_value,-0.0360126707548552,ok,,insufficient_history,50.0,latest_value,,source_error,,source_error,,unavailable,8511.0,ok,,insufficient_history,75.0,latest_value,-0.003633702016916,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:source_error; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
4,医药健康,2026-07-02,62.49999999999999,62.49999999999999,62.49999999999999,,,,0.35,trial,试运行评分模式,0.0612580989110949,ok,,insufficient_history,33.33333333333333,latest_value,0.0467478310765012,ok,,insufficient_history,91.66666666666666,latest_value,,source_error,,source_error,,unavailable,,missing_config,,missing_config,,unavailable,3.477080458653192,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:source_error; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
5,人工智能,2026-07-02,54.375,62.50000000000001,62.50000000000001,50.0,50.0,,1.0,trial,试运行评分模式,0.3325654673950835,ok,,insufficient_history,83.33333333333334,latest_value,-0.0652269523522061,ok,,insufficient_history,41.66666666666667,latest_value,,source_error,,source_error,,unavailable,4166.0,ok,,insufficient_history,50.0,latest_value,0.4793690656331024,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:source_error; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
6,物流供应链,2026-07-02,54.166666666666664,54.16666666666667,54.16666666666667,,,,0.35,trial,试运行评分模式,0.103184745150346,ok,,insufficient_history,50.0,latest_value,-0.0232164478142175,ok,,insufficient_history,58.333333333333336,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,,insufficient_data,,insufficient_data,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_data; nvd_cve_count_4w:missing_config
7,半导体,2026-07-02,46.875,87.5,87.5,25.0,25.0,,1.0,trial,试运行评分模式,0.5668973300626496,ok,,insufficient_history,100.0,latest_value,-0.0112664047840713,ok,,insufficient_history,75.0,latest_value,,source_error,,source_error,,unavailable,2030.0,ok,,insufficient_history,25.0,latest_value,0.2551055297604845,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:source_error; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
8,新能源汽车,2026-07-02,45.83333333333333,45.83333333333333,45.83333333333333,,,,0.35,trial,试运行评分模式,0.2197374873919781,ok,,insufficient_history,66.66666666666666,latest_value,-0.0958342696875155,ok,,insufficient_history,25.0,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.0749553739786298,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
9,跨境电商,2026-07-02,41.66666666666666,41.66666666666666,41.66666666666666,,,,0.35,trial,试运行评分模式,-0.0235835322856566,ok,,insufficient_history,16.666666666666664,latest_value,-0.0175655343226938,ok,,insufficient_history,66.66666666666666,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.2443697723470796,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
10,低空经济,2026-07-02,37.5,37.5,37.5,,,,0.35,trial,试运行评分模式,0.1010578164697952,ok,,insufficient_history,41.66666666666667,latest_value,-0.0695819234551,ok,,insufficient_history,33.33333333333333,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,0.6293316911612503,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
