industry,date,metric,value,source,status
人工智能,2026-07-02,market_return_3m,0.295287926159604,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-07-02,market_return_4w,-0.0107166023470394,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-07-02,market_volume_change_4w,0.4916481598108435,Global X Artificial Intelligence & Technology ETF (AIQ),ok
低空经济,2026-07-02,market_return_3m,0.1023595935351653,ARK Space Exploration & Innovation ETF (ARKX),ok
低空经济,2026-07-02,market_return_4w,-0.0049941826988915,ARK Space Exploration & Innovation ETF (ARKX),ok
低空经济,2026-07-02,market_volume_change_4w,0.6001834151908536,ARK Space Exploration & Innovation ETF (ARKX),ok
储能,2026-07-02,market_return_3m,0.0106880323686102,Amplify Lithium & Battery Technology ETF (BATT),ok
储能,2026-07-02,market_return_4w,-0.0460277148826412,Amplify Lithium & Battery Technology ETF (BATT),ok
储能,2026-07-02,market_volume_change_4w,-0.4073293632615666,Amplify Lithium & Battery Technology ETF (BATT),ok
医药健康,2026-07-02,market_return_3m,0.0923481669361618,iShares Global Healthcare ETF (IXJ),ok
医药健康,2026-07-02,market_return_4w,0.0712162503582714,iShares Global Healthcare ETF (IXJ),ok
医药健康,2026-07-02,market_volume_change_4w,3.4224080267558525,iShares Global Healthcare ETF (IXJ),ok
半导体,2026-07-02,market_return_3m,0.4957572644943271,VanEck Semiconductor ETF (SMH),ok
半导体,2026-07-02,market_return_4w,0.0396706550739618,VanEck Semiconductor ETF (SMH),ok
半导体,2026-07-02,market_volume_change_4w,0.3165323605607966,VanEck Semiconductor ETF (SMH),ok
新能源汽车,2026-07-02,market_return_3m,0.1849720747236447,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
新能源汽车,2026-07-02,market_return_4w,-0.0467755585755471,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
新能源汽车,2026-07-02,market_volume_change_4w,-0.0804671871975221,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
旅游,2026-07-02,market_return_3m,0.1402397923716372,Amplify Travel Tech ETF (AWAY),ok
旅游,2026-07-02,market_return_4w,0.0757540471692632,Amplify Travel Tech ETF (AWAY),ok
旅游,2026-07-02,market_volume_change_4w,-0.2363067292644758,Amplify Travel Tech ETF (AWAY),ok
机器人,2026-07-02,market_return_3m,0.1929899509197459,ROBO Global Robotics and Automation Index ETF (ROBO),ok
机器人,2026-07-02,market_return_4w,0.0001199584619806,ROBO Global Robotics and Automation Index ETF (ROBO),ok
机器人,2026-07-02,market_volume_change_4w,-0.0321397254880909,ROBO Global Robotics and Automation Index ETF (ROBO),ok
消费零售,2026-07-02,market_return_3m,-0.1673964158108868,Global X MSCI China Consumer Discretionary ETF (CHIQ),ok
消费零售,2026-07-02,market_return_4w,-0.0896435733409215,Global X MSCI China Consumer Discretionary ETF (CHIQ),ok
消费零售,2026-07-02,market_volume_change_4w,-0.0766893534273215,Global X MSCI China Consumer Discretionary ETF (CHIQ),ok
物流供应链,2026-07-02,market_return_3m,0.1162356623600111,Pacer Industrials and Logistics ETF (SHPP),ok
物流供应链,2026-07-02,market_return_4w,-0.007718619588805,Pacer Industrials and Logistics ETF (SHPP),ok
物流供应链,2026-07-02,market_volume_change_4w,,Pacer Industrials and Logistics ETF (SHPP),insufficient_data
网络安全,2026-07-02,market_return_3m,0.4144010119069012,First Trust NASDAQ Cybersecurity ETF (CIBR),ok
网络安全,2026-07-02,market_return_4w,0.0466894212861557,First Trust NASDAQ Cybersecurity ETF (CIBR),ok
网络安全,2026-07-02,market_volume_change_4w,-0.1525330647180678,First Trust NASDAQ Cybersecurity ETF (CIBR),ok
跨境电商,2026-07-02,market_return_3m,-0.0217458180287841,EMQQ The Emerging Markets Internet & Ecommerce ETF (EMQQ),ok
跨境电商,2026-07-02,market_return_4w,0.0155802785129206,EMQQ The Emerging Markets Internet & Ecommerce ETF (EMQQ),ok
跨境电商,2026-07-02,market_volume_change_4w,-0.1678878121799416,EMQQ The Emerging Markets Internet & Ecommerce ETF (EMQQ),ok
医药健康,2026-07-04,news_heat,1.0,Google News 中文科技,ok
半导体,2026-07-04,news_heat,7.0,Google News 中文科技,ok
新能源汽车,2026-07-04,news_heat,1.0,Google News 中文科技,ok
消费零售,2026-07-04,news_heat,3.0,Google News 中文科技,ok
人工智能,2026-07-05,arxiv_paper_count_4w,5246.0,arXiv API,ok
人工智能,2026-07-05,github_repo_count_4w,4222.0,GitHub Search API,ok
人工智能,2026-07-05,news_heat,0.0,Google News 中文科技,no_match
人工智能,2026-07-05,nvd_cve_count_4w,,NVD CVE API,missing_config
人工智能,2026-07-05,policy_heat,,configured_sources,missing_config
低空经济,2026-07-05,arxiv_paper_count_4w,,arXiv API,missing_config
低空经济,2026-07-05,github_repo_count_4w,,GitHub Search API,missing_config
低空经济,2026-07-05,news_heat,0.0,Google News 中文科技,no_match
低空经济,2026-07-05,nvd_cve_count_4w,,NVD CVE API,missing_config
低空经济,2026-07-05,policy_heat,,configured_sources,missing_config
储能,2026-07-05,arxiv_paper_count_4w,,arXiv API,missing_config
储能,2026-07-05,github_repo_count_4w,,GitHub Search API,missing_config
储能,2026-07-05,news_heat,0.0,Google News 中文科技,no_match
储能,2026-07-05,nvd_cve_count_4w,,NVD CVE API,missing_config
储能,2026-07-05,policy_heat,,configured_sources,missing_config
医药健康,2026-07-05,arxiv_paper_count_4w,12.0,arXiv API,ok
医药健康,2026-07-05,github_repo_count_4w,,GitHub Search API,missing_config
医药健康,2026-07-05,nvd_cve_count_4w,,NVD CVE API,missing_config
医药健康,2026-07-05,policy_heat,,configured_sources,missing_config
半导体,2026-07-05,arxiv_paper_count_4w,271.0,arXiv API,ok
半导体,2026-07-05,github_repo_count_4w,2048.0,GitHub Search API,ok
半导体,2026-07-05,nvd_cve_count_4w,,NVD CVE API,missing_config
半导体,2026-07-05,policy_heat,,configured_sources,missing_config
