rank,industry,data_date,composite_score,capital_momentum,capital_momentum_score,tech_activity,tech_activity_score,external_signal_score,available_weight,ranking_status,scoring_mode,market_return_3m,market_return_3m_status,market_return_3m_growth_rate_4w,market_return_3m_momentum_status,market_return_3m_score,market_return_3m_score_source,market_return_4w,market_return_4w_status,market_return_4w_growth_rate_4w,market_return_4w_momentum_status,market_return_4w_score,market_return_4w_score_source,arxiv_paper_count_4w,arxiv_paper_count_4w_status,arxiv_paper_count_4w_growth_rate_4w,arxiv_paper_count_4w_momentum_status,arxiv_paper_count_4w_score,arxiv_paper_count_4w_score_source,github_repo_count_4w,github_repo_count_4w_status,github_repo_count_4w_growth_rate_4w,github_repo_count_4w_momentum_status,github_repo_count_4w_score,github_repo_count_4w_score_source,market_volume_change_4w,market_volume_change_4w_status,market_volume_change_4w_growth_rate_4w,market_volume_change_4w_momentum_status,nvd_cve_count_4w,nvd_cve_count_4w_status,nvd_cve_count_4w_growth_rate_4w,nvd_cve_count_4w_momentum_status,excluded_metrics,insufficient_metrics,auxiliary_metrics,missing_metrics,data_status
,人工智能,2026-07-09,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.2673688687162288,ok,,insufficient_history,,unavailable,-0.0215793753190223,ok,,insufficient_history,,unavailable,4903.0,ok,,insufficient_history,,unavailable,4268.0,ok,,insufficient_history,,unavailable,0.169724073844891,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,低空经济,2026-07-09,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.0296461068838744,ok,,insufficient_history,,unavailable,-0.0624093317348146,ok,,insufficient_history,,unavailable,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,0.1447214377325116,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,储能,2026-07-09,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,-0.0954174782576627,ok,,insufficient_history,,unavailable,-0.0982477934792546,ok,,insufficient_history,,unavailable,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.5014749627501064,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,医药健康,2026-07-09,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.0693483884498047,ok,,insufficient_history,,unavailable,0.0482894849686967,ok,,insufficient_history,,unavailable,10.0,ok,,insufficient_history,,unavailable,,missing_config,,missing_config,,unavailable,3.478641243024782,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,半导体,2026-07-09,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.3573521181383998,ok,,insufficient_history,,unavailable,-0.0269915692469346,ok,,insufficient_history,,unavailable,267.0,ok,,insufficient_history,,unavailable,2027.0,ok,,insufficient_history,,unavailable,0.0830470996897816,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,新能源汽车,2026-07-09,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.0931751504180682,ok,,insufficient_history,,unavailable,-0.0751351425046852,ok,,insufficient_history,,unavailable,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.2291891616790846,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,旅游,2026-07-09,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.0925334096871486,ok,,insufficient_history,,unavailable,0.048606727158309,ok,,insufficient_history,,unavailable,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.480827775192596,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,机器人,2026-07-09,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.0979940834447719,ok,,insufficient_history,,unavailable,-0.0172267155609382,ok,,insufficient_history,,unavailable,1364.0,ok,,insufficient_history,,unavailable,8659.0,ok,,insufficient_history,,unavailable,-0.3483121836940035,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,消费零售,2026-07-09,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,-0.1553164791334332,ok,,insufficient_history,,unavailable,-0.027174180260625,ok,,insufficient_history,,unavailable,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.0936946697640174,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,物流供应链,2026-07-09,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.0706476110505958,ok,,insufficient_history,,unavailable,-0.0113729553550094,ok,,insufficient_history,,unavailable,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,,insufficient_data,,insufficient_data,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_data; nvd_cve_count_4w:missing_config
,网络安全,2026-07-09,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.5103527285842822,ok,,insufficient_history,,unavailable,0.0733452817669173,ok,,insufficient_history,,unavailable,,missing_config,,missing_config,,unavailable,10840.0,ok,,insufficient_history,,unavailable,-0.215253195198838,ok,,insufficient_history,6631.0,ok,,insufficient_history,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:insufficient_history
,跨境电商,2026-07-09,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,-0.0246103922526041,ok,,insufficient_history,,unavailable,0.0443971695237159,ok,,insufficient_history,,unavailable,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.113322818086225,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
