industry,date,metric,value,source,status
人工智能,2026-07-10,market_return_3m,0.25425061941691407,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-07-10,market_return_4w,-0.046731844965207436,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-07-10,market_volume_change_4w,0.004062007306493864,Global X Artificial Intelligence & Technology ETF (AIQ),ok
半导体,2026-07-10,market_return_3m,0.378242509911467,VanEck Semiconductor ETF (SMH),ok
半导体,2026-07-10,market_return_4w,-0.055740917400594614,VanEck Semiconductor ETF (SMH),ok
半导体,2026-07-10,market_volume_change_4w,0.058069688826572596,VanEck Semiconductor ETF (SMH),ok
新能源汽车,2026-07-10,market_return_3m,0.0889063590702075,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
新能源汽车,2026-07-10,market_return_4w,-0.0996256914527398,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
新能源汽车,2026-07-10,market_volume_change_4w,-0.18184695872379808,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
储能,2026-07-10,market_return_3m,-0.10104100589339193,Amplify Lithium & Battery Technology ETF (BATT),ok
储能,2026-07-10,market_return_4w,-0.13392332481346803,Amplify Lithium & Battery Technology ETF (BATT),ok
储能,2026-07-10,market_volume_change_4w,-0.5266258557135335,Amplify Lithium & Battery Technology ETF (BATT),ok
机器人,2026-07-10,market_return_3m,0.1037785396795492,ROBO Global Robotics and Automation Index ETF (ROBO),ok
机器人,2026-07-10,market_return_4w,-0.026405351768276297,ROBO Global Robotics and Automation Index ETF (ROBO),ok
机器人,2026-07-10,market_volume_change_4w,-0.3467130257234189,ROBO Global Robotics and Automation Index ETF (ROBO),ok
低空经济,2026-07-10,market_return_3m,0.0003120574671506837,ARK Space Exploration & Innovation ETF (ARKX),ok
低空经济,2026-07-10,market_return_4w,-0.0889710358431901,ARK Space Exploration & Innovation ETF (ARKX),ok
低空经济,2026-07-10,market_volume_change_4w,-0.08542178002258327,ARK Space Exploration & Innovation ETF (ARKX),ok
跨境电商,2026-07-10,market_return_3m,-0.01977827169672397,EMQQ The Emerging Markets Internet & Ecommerce ETF (EMQQ),ok
跨境电商,2026-07-10,market_return_4w,0.0350140044382512,EMQQ The Emerging Markets Internet & Ecommerce ETF (EMQQ),ok
跨境电商,2026-07-10,market_volume_change_4w,-0.2689515512761731,EMQQ The Emerging Markets Internet & Ecommerce ETF (EMQQ),ok
医药健康,2026-07-10,market_return_3m,0.05357632024843162,iShares Global Healthcare ETF (IXJ),ok
医药健康,2026-07-10,market_return_4w,0.04618788536165175,iShares Global Healthcare ETF (IXJ),ok
医药健康,2026-07-10,market_volume_change_4w,2.3301240005937265,iShares Global Healthcare ETF (IXJ),ok
消费零售,2026-07-10,market_return_3m,-0.14749358606942442,Global X MSCI China Consumer Discretionary ETF (CHIQ),ok
消费零售,2026-07-10,market_return_4w,-0.02843914077036236,Global X MSCI China Consumer Discretionary ETF (CHIQ),ok
消费零售,2026-07-10,market_volume_change_4w,-0.31839994630692303,Global X MSCI China Consumer Discretionary ETF (CHIQ),ok
物流供应链,2026-07-10,market_return_3m,0.07927069502095918,Pacer Industrials and Logistics ETF (SHPP),ok
物流供应链,2026-07-10,market_return_4w,0.0036964075462222468,Pacer Industrials and Logistics ETF (SHPP),ok
物流供应链,2026-07-10,market_volume_change_4w,,Pacer Industrials and Logistics ETF (SHPP),insufficient_data
旅游,2026-07-10,market_return_3m,0.1063804620173765,Amplify Travel Tech ETF (AWAY),ok
旅游,2026-07-10,market_return_4w,0.03973110498284571,Amplify Travel Tech ETF (AWAY),ok
旅游,2026-07-10,market_volume_change_4w,-0.5221603793032363,Amplify Travel Tech ETF (AWAY),ok
网络安全,2026-07-10,market_return_3m,0.45527793900008495,First Trust NASDAQ Cybersecurity ETF (CIBR),ok
网络安全,2026-07-10,market_return_4w,0.06594422344892381,First Trust NASDAQ Cybersecurity ETF (CIBR),ok
网络安全,2026-07-10,market_volume_change_4w,-0.15721089160452972,First Trust NASDAQ Cybersecurity ETF (CIBR),ok
