industry,metric,growth_rate_4w,z_score_12w,freshness_days,momentum_status
人工智能,arxiv_paper_count_4w,,,0,insufficient_history
人工智能,github_repo_count_4w,,,0,insufficient_history
人工智能,market_return_3m,,,1,insufficient_history
人工智能,market_return_4w,,,1,insufficient_history
人工智能,market_volume_change_4w,,,1,insufficient_history
人工智能,news_heat,3.2,,1,ok
人工智能,nvd_cve_count_4w,,,0,missing_config
人工智能,policy_heat,,,0,missing_config
低空经济,arxiv_paper_count_4w,,,0,missing_config
低空经济,github_repo_count_4w,,,0,missing_config
低空经济,market_return_3m,,,1,insufficient_history
低空经济,market_return_4w,,,1,insufficient_history
低空经济,market_volume_change_4w,,,1,insufficient_history
低空经济,news_heat,,,0,insufficient_history
低空经济,nvd_cve_count_4w,,,0,missing_config
低空经济,policy_heat,,,0,missing_config
储能,arxiv_paper_count_4w,,,0,missing_config
储能,github_repo_count_4w,,,0,missing_config
储能,market_return_3m,,,1,insufficient_history
储能,market_return_4w,,,1,insufficient_history
储能,market_volume_change_4w,,,1,insufficient_history
储能,news_heat,,,0,insufficient_history
储能,nvd_cve_count_4w,,,0,missing_config
储能,policy_heat,,,0,missing_config
医药健康,arxiv_paper_count_4w,,,0,source_error
医药健康,github_repo_count_4w,,,0,missing_config
医药健康,market_return_3m,,,1,insufficient_history
医药健康,market_return_4w,,,1,insufficient_history
医药健康,market_volume_change_4w,,,1,insufficient_history
医药健康,news_heat,,,1,insufficient_history
医药健康,nvd_cve_count_4w,,,0,missing_config
医药健康,policy_heat,,,0,missing_config
半导体,arxiv_paper_count_4w,,,0,insufficient_history
半导体,github_repo_count_4w,,,0,insufficient_history
半导体,market_return_3m,,,1,insufficient_history
半导体,market_return_4w,,,1,insufficient_history
半导体,market_volume_change_4w,,,1,insufficient_history
半导体,news_heat,,,1,insufficient_history
半导体,nvd_cve_count_4w,,,0,missing_config
半导体,policy_heat,,,0,missing_config
新能源汽车,arxiv_paper_count_4w,,,0,missing_config
新能源汽车,github_repo_count_4w,,,0,missing_config
新能源汽车,market_return_3m,,,1,insufficient_history
新能源汽车,market_return_4w,,,1,insufficient_history
新能源汽车,market_volume_change_4w,,,1,insufficient_history
新能源汽车,news_heat,,,0,insufficient_history
新能源汽车,nvd_cve_count_4w,,,0,missing_config
新能源汽车,policy_heat,,,0,missing_config
旅游,arxiv_paper_count_4w,,,0,missing_config
旅游,github_repo_count_4w,,,0,missing_config
旅游,market_return_3m,,,1,insufficient_history
旅游,market_return_4w,,,1,insufficient_history
旅游,market_volume_change_4w,,,1,insufficient_history
旅游,news_heat,,,1,insufficient_history
旅游,nvd_cve_count_4w,,,0,missing_config
旅游,policy_heat,,,0,missing_config
机器人,arxiv_paper_count_4w,,,0,source_error
机器人,github_repo_count_4w,,,0,insufficient_history
机器人,market_return_3m,,,1,insufficient_history
机器人,market_return_4w,,,1,insufficient_history
机器人,market_volume_change_4w,,,1,insufficient_history
机器人,news_heat,,,1,insufficient_history
机器人,nvd_cve_count_4w,,,0,missing_config
机器人,policy_heat,,,0,missing_config
消费零售,arxiv_paper_count_4w,,,0,missing_config
消费零售,github_repo_count_4w,,,0,missing_config
消费零售,market_return_3m,,,1,insufficient_history
消费零售,market_return_4w,,,1,insufficient_history
消费零售,market_volume_change_4w,,,1,insufficient_history
消费零售,news_heat,,,0,insufficient_history
消费零售,nvd_cve_count_4w,,,0,missing_config
消费零售,policy_heat,,,0,missing_config
物流供应链,arxiv_paper_count_4w,,,0,missing_config
物流供应链,github_repo_count_4w,,,0,missing_config
物流供应链,market_return_3m,,,2,insufficient_history
物流供应链,market_return_4w,,,2,insufficient_history
物流供应链,market_volume_change_4w,,,2,insufficient_data
物流供应链,news_heat,,,0,insufficient_history
物流供应链,nvd_cve_count_4w,,,0,missing_config
物流供应链,policy_heat,,,0,missing_config
网络安全,arxiv_paper_count_4w,,,0,missing_config
网络安全,github_repo_count_4w,,,0,insufficient_history
网络安全,market_return_3m,,,1,insufficient_history
网络安全,market_return_4w,,,1,insufficient_history
网络安全,market_volume_change_4w,,,1,insufficient_history
网络安全,news_heat,,,0,insufficient_history
网络安全,nvd_cve_count_4w,,,0,source_error
网络安全,policy_heat,,,0,missing_config
跨境电商,arxiv_paper_count_4w,,,0,missing_config
跨境电商,github_repo_count_4w,,,0,missing_config
跨境电商,market_return_3m,,,1,insufficient_history
跨境电商,market_return_4w,,,1,insufficient_history
跨境电商,market_volume_change_4w,,,1,insufficient_history
跨境电商,news_heat,,,0,insufficient_history
跨境电商,nvd_cve_count_4w,,,0,missing_config
跨境电商,policy_heat,,,0,missing_config
