industry,date,metric,value,source,status
人工智能,2026-07-05,github_repo_count_4w,4222.0,GitHub Search API,ok
半导体,2026-07-05,github_repo_count_4w,2048.0,GitHub Search API,ok
新能源汽车,2026-07-05,github_repo_count_4w,,GitHub Search API,missing_config
储能,2026-07-05,github_repo_count_4w,,GitHub Search API,missing_config
机器人,2026-07-05,github_repo_count_4w,8664.0,GitHub Search API,ok
低空经济,2026-07-05,github_repo_count_4w,,GitHub Search API,missing_config
跨境电商,2026-07-05,github_repo_count_4w,,GitHub Search API,missing_config
医药健康,2026-07-05,github_repo_count_4w,,GitHub Search API,missing_config
消费零售,2026-07-05,github_repo_count_4w,,GitHub Search API,missing_config
物流供应链,2026-07-05,github_repo_count_4w,,GitHub Search API,missing_config
旅游,2026-07-05,github_repo_count_4w,,GitHub Search API,missing_config
网络安全,2026-07-05,github_repo_count_4w,10973.0,GitHub Search API,ok
