industry,date,metric,value,source,status
人工智能,2026-06-10,policy_heat,12,offline_sample,sample
半导体,2026-06-10,policy_heat,10,offline_sample,sample
新能源汽车,2026-06-10,policy_heat,8,offline_sample,sample
储能,2026-06-10,policy_heat,9,offline_sample,sample
机器人,2026-06-10,policy_heat,11,offline_sample,sample
低空经济,2026-06-10,policy_heat,13,offline_sample,sample
跨境电商,2026-06-10,policy_heat,7,offline_sample,sample
医药健康,2026-06-10,policy_heat,6,offline_sample,sample
消费零售,2026-06-10,policy_heat,5,offline_sample,sample
物流供应链,2026-06-10,policy_heat,4,offline_sample,sample
旅游,2026-06-10,policy_heat,6,offline_sample,sample
网络安全,2026-06-10,policy_heat,9,offline_sample,sample
